team,name,position,height,weight,bday,years experience
OKC,Isaiah Joe,SG,6-4,165,7/2/1999,5
OKC,Jared McCain,SG,6-3,195,2/20/2004,1
OKC,Ajay Mitchell,SG,6-4,190,6/25/2002,1
OKC,Payton Sandfort,SF,6-7,215,12/4/2002,0
OKC,Nikola Topić,PG,6-6,200,8/10/2005,0
OKC,Cason Wallace,SG,6-3,195,11/7/2003,2
OKC,Aaron Wiggins,SG,6-5,190,1/2/1999,4
OKC,Jalen Williams,SG,6-5,211,4/14/2001,3
OKC,Jaylin Williams,PF,6-9,240,6/29/2002,3
OKC,Kenrich Williams,PF,6-7,210,12/2/1994,7
OKC,Chris Youngblood,SG,6-4,221,2/9/2002,0
ORL,Paolo Banchero,PF,6-10,250,11/12/2002,3
ORL,Desmond Bane,SG,6-6,215,6/25/1998,5
ORL,Goga Bitadze,C,6-11,250,7/20/1999,6
ORL,Anthony Black,PG,6-7,200,1/20/2004,2
ORL,Jamal Cain,SF,6-7,191,3/20/1999,3
ORL,Jevon Carter,PG,6-0,200,9/14/1995,7
ORL,Wendell Carter Jr.,C,6-10,270,4/16/1999,7
ORL,Colin Castleton,C,6-10,250,5/25/2000,2
ORL,Tristan Da Silva,SF,6-8,217,5/15/2001,1
ORL,Jett Howard,SF,6-8,215,9/14/2003,2
ORL,Jonathan Isaac,PF,6-10,230,10/3/1997,6
ORL,Tyus Jones,PG,6-0,196,5/10/1996,10
ORL,Alex Morales,PG,6-6,180,11/21/1997,0
ORL,Noah Penda,SF,6-7,215,1/7/2005,0
ORL,Jase Richardson,SG,6-1,180,10/16/2005,0
ORL,Orlando Robinson,C,6-10,235,7/10/2000,3
ORL,Jalen Suggs,PG,6-5,205,6/3/2001,4
ORL,Franz Wagner,SF,6-10,220,8/27/2001,4
ORL,Moritz Wagner,C,6-11,245,4/26/1997,7
PHI,Patrick Baldwin Jr.,SF,7-0,220,11/18/2002,3
PHI,Dominick Barlow,PF,6-9,215,5/26/2003,3
PHI,Charles Bassey,C,6-10,230,10/28/2000,4
PHI,MarJon Beauchamp,SF,6-7,199,10/12/2000,3
PHI,Adem Bona,C,6-10,235,3/28/2003,1
PHI,Johni Broome,C,6-10,235,7/19/2002,0
PHI,Andre Drummond,C,6-11,279,8/10/1993,13
PHI,VJ Edgecombe,SG,6-4,180,7/30/2005,0
PHI,Justin Edwards,SF,6-7,203,12/16/2003,1
PHI,Joel Embiid,C,7-0,280,3/16/1994,9
PHI,Paul George,PF,6-8,220,5/2/1990,15
PHI,Eric Gordon,SG,6-3,215,12/25/1988,17
PHI,Quentin Grimes,SG,6-4,210,5/8/2000,4
PHI,Kyle Lowry,PG,6-0,196,3/25/1986,19
PHI,Tyrese Martin,SG,6-6,215,3/7/1999,2
PHI,Tyrese Maxey,PG,6-2,200,11/4/2000,5
PHI,Jared McCain,SG,6-3,195,2/20/2004,1
PHI,Kelly Oubre Jr.,SF,6-8,203,12/9/1995,10
PHI,Cameron Payne,PG,6-2,183,8/8/1994,10
PHI,Hunter Sallis,SG,6-4,185,3/26/2003,0
PHI,Dalen Terry,SG,6-6,195,7/12/2002,3
PHI,Jabari Walker,PF,6-7,237,7/30/2002,3
PHI,Trendon Watford,PF,6-8,237,11/9/2000,4
PHX,Grayson Allen,SG,6-3,198,10/8/1995,7
PHX,Devin Booker,SG,6-5,206,10/30/1996,10
PHX,Jamaree Bouyea,PG,6-2,180,6/27/1999,3
PHX,Koby Brea,SG,6-5,215,11/6/2002,0
PHX,Dillon Brooks,SF,6-7,225,1/22/1996,8
PHX,Amir Coffey,SG,6-7,210,6/17/1997,6
PHX,Ryan Dunn,SF,6-7,216,1/7/2003,1
PHX,Rasheer Fleming,PF,6-9,240,7/10/2004,0
PHX,Collin Gillespie,PG,6-1,195,6/25/1999,2
PHX,Jordan Goodwin,PG,6-3,215,10/23/1998,4
PHX,Jalen Green,SG,6-4,186,2/9/2002,4
PHX,Nigel Hayes-Davis,SF,6-7,254,12/16/1994,1
PHX,Haywood Highsmith,SF,6-5,220,12/9/1996,5
PHX,CJ Huntley,SF,6-9,190,1/6/2002,0
PHX,Oso Ighodaro,PF,6-11,235,7/14/2002,1
PHX,Isaiah Livers,PF,6-6,232,7/28/1998,3
PHX,Khaman Maluach,C,7-1,250,9/14/2006,0
PHX,Royce O'Neale,SF,6-6,226,6/5/1993,8
PHX,Nick Richards,C,6-11,245,11/29/1997,5
PHX,Mark Williams,C,7-1,240,12/16/2001,3
POR,Deni Avdija,SF,6-8,228,1/3/2001,5
POR,Toumani Camara,PF,6-7,230,5/8/2000,2
POR,Sidy Cissoko,SF,6-6,220,4/2/2004,2
POR,Donovan Clingan,C,7-2,280,2/23/2004,1
POR,Javonte Cooke,SG,6-6,185,7/11/1999,0
POR,Jerami Grant,PF,6-7,213,3/12/1994,11
POR,Yang Hansen,C,7-1,270,6/26/2005,0
POR,Scoot Henderson,PG,6-3,207,2/3/2004,2
POR,Jrue Holiday,PG,6-4,220,6/12/1990,16
POR,Jayson Kent,SF,6-8,215,2/3/2002,0
POR,Vít Krejčí,PG,6-8,195,6/19/2000,4
POR,Caleb Love,SG,6-3,212,9/27/2001,0
POR,Kris Murray,SF,6-8,218,8/19/2000,2
POR,Duop Reath,C,6-9,245,6/26/1996,2
POR,Rayan Rupert,SG,6-7,205,5/31/2004,2
POR,Shaedon Sharpe,SG,6-5,210,5/30/2003,3
POR,Matisse Thybulle,SG,6-5,202,3/4/1997,6
POR,Blake Wesley,SG,6-4,190,3/16/2003,3
POR,Robert Williams,C,6-9,249,10/17/1997,7
POR,Chris Youngblood,SG,6-4,221,2/9/2002,0
SAC,Precious Achiuwa,C,6-8,243,9/19/1999,5
SAC,Patrick Baldwin Jr.,SF,7-0,220,11/18/2002,3
SAC,Dylan Cardwell,C,6-10,255,12/16/2001,0
SAC,Devin Carter,PG,6-2,195,3/18/2002,1
SAC,Nique Clifford,SG,6-5,175,2/9/2002,0
SAC,DeMar DeRozan,PF,6-6,220,8/7/1989,16
SAC,Keon Ellis,SG,6-4,175,1/8/2000,3
SAC,Drew Eubanks,C,6-10,245,2/1/1997,7
SAC,Killian Hayes,PG,6-4,195,7/27/2001,5
SAC,De'Andre Hunter,SF,6-7,221,12/2/1997,6
SAC,DaQuan Jeffries,SG,6-5,222,8/30/1997,6
SAC,Isaac Jones,PF,6-8,245,7/11/2000,1
SAC,Zach LaVine,SG,6-5,200,3/10/1995,11
SAC,Doug McDermott,SF,6-7,225,1/3/1992,11
SAC,Malik Monk,SG,6-3,200,2/4/1998,8
SAC,Keegan Murray,PF,6-8,225,8/19/2000,3
SAC,Daeqwon Plowden,SG,6-4,216,8/29/1998,1
SAC,Maxime Raynaud,C,7-1,250,4/7/2003,0
SAC,Domantas Sabonis,C,6-10,240,5/3/1996,9
SAC,Dario Šarić,C,6-10,225,4/8/1994,8
SAC,Dennis Schröder,PG,6-1,175,9/15/1993,12
SAC,Isaiah Stevens,PG,5-11,185,11/1/2000,1
SAC,Russell Westbrook,SF,6-4,200,11/12/1988,17
SAS,Harrison Barnes,PF,6-7,225,5/30/1992,13
SAS,Bismack Biyombo,C,6-8,255,8/28/1992,14
SAS,Carter Bryant,PF,6-6,220,11/26/2005,0
SAS,Stephon Castle,PG,6-6,215,11/1/2004,1
SAS,Julian Champagnie,SF,6-7,217,6/29/2001,3
SAS,De'Aaron Fox,PG,6-3,185,12/20/1997,8
SAS,Dylan Harper,SG,6-5,215,3/2/2006,0
SAS,Harrison Ingram,SF,6-5,230,11/27/2002,1
SAS,Keldon Johnson,SF,6-6,220,10/11/1999,6
SAS,David Jones García,SF,6-4,210,11/24/2001,0
SAS,Luke Kornet,C,7-1,250,7/15/1995,8
SAS,Jordan McLaughlin,PG,5-11,185,4/9/1996,6
SAS,Riley Minix,SF,6-7,230,9/22/2000,1
SAS,Kelly Olynyk,C,7-0,240,4/19/1991,12
SAS,Mason Plumlee,C,7-0,254,3/5/1990,12
SAS,Jeremy Sochan,PF,6-8,230,5/20/2003,3
SAS,Stanley Umude,SG,6-6,210,4/12/1999,3
SAS,Devin Vassell,SG,6-5,200,8/23/2000,5
SAS,Lindy Waters III,SG,6-5,210,7/28/1997,4
SAS,Victor Wembanyama,C,7-4,235,1/4/2004,2
TOR,Ochai Agbaji,SG,6-5,215,4/20/2000,3
TOR,Mo Bamba,C,7-0,231,5/12/1998,7
TOR,Scottie Barnes,PF,6-8,237,8/1/2001,4
TOR,RJ Barrett,SF,6-6,214,6/14/2000,6
TOR,Jamison Battle,SF,6-7,220,5/10/2001,1
TOR,Gradey Dick,SG,6-7,200,11/20/2003,2
TOR,Markelle Fultz,PG,6-4,209,5/29/1998,8
TOR,Chucky Hepburn,PG,6-0,190,2/9/2003,0
TOR,Brandon Ingram,SF,6-8,190,9/2/1997,9
TOR,Trayce Jackson-Davis,C,6-9,245,2/22/2000,2
TOR,A.J. Lawson,SG,6-6,179,7/15/2000,3
TOR,Sandro Mamukelashvili,C,6-9,240,5/23/1999,4
TOR,Alijah Martin,SG,6-2,210,12/26/2001,0
TOR,Jonathan Mogbo,PF,6-9,225,10/29/2001,1
TOR,Collin Murray-Boyles,PF,6-7,245,6/10/2005,0
TOR,Jakob Poeltl,C,7-0,253,10/15/1995,9
TOR,Immanuel Quickley,PG,6-2,190,6/17/1999,5
TOR,Jamal Shead,PG,6-1,200,6/24/2002,1
TOR,Garrett Temple,SG,6-5,195,5/8/1986,15
TOR,Ja'Kobe Walter,SG,6-4,180,9/4/2004,1
UTA,Kyle Anderson,SF,6-8,230,9/20/1993,11
UTA,Ace Bailey,SF,6-9,200,8/13/2006,0
UTA,Mo Bamba,C,7-0,231,5/12/1998,7
UTA,Kennedy Chandler,PG,6-0,170,9/16/2002,1
UTA,Walter Clayton,PG,6-4,195,3/6/2003,0
UTA,Isaiah Collier,PG,6-4,210,10/8/2004,1
UTA,Kyle Filipowski,C,6-11,250,11/7/2003,1
UTA,Andersson Garcia,SF,6-7,220,8/23/2000,0
UTA,Keyonte George,PG,6-4,185,11/8/2003,2
UTA,Hayden Gray,SG,6-4,190,5/11/2003,0
UTA,Elijah Harkless,SG,6-3,195,2/3/2000,1
UTA,Taylor Hendricks,PF,6-9,215,11/22/2003,2
UTA,Blake Hinson,SF,6-8,240,12/26/1999,0
UTA,Jaren Jackson Jr.,C,6-10,242,9/15/1999,7
UTA,Walker Kessler,C,7-2,245,7/26/2001,3
UTA,John Konchar,SG,6-5,210,3/22/1996,6
UTA,Kevin Love,PF,6-10,251,9/7/1988,17
UTA,Lauri Markkanen,PF,7-1,240,5/22/1997,8
UTA,Bez Mbeng,SG,6-4,185,5/2/2003,0
UTA,Svi Mykhailiuk,SF,6-7,205,6/10/1997,7
UTA,Jusuf Nurkić,C,6-11,290,8/23/1994,11
UTA,Brice Sensabaugh,SF,6-6,235,10/30/2003,2
UTA,Oscar Tshiebwe,C,6-8,255,11/27/1999,2
UTA,Cody Williams,SG,6-8,190,11/20/2004,1
UTA,Vince Williams Jr.,SG,6-4,205,8/30/2000,3
WAS,Marvin Bagley III,PF,6-10,235,3/14/1999,7
WAS,Leaky Black,SF,6-6,209,6/14/1999,1
WAS,Malaki Branham,SG,6-4,180,5/12/2003,3
WAS,Bub Carrington,PG,6-4,190,7/21/2005,1
WAS,Justin Champagnie,SF,6-6,206,6/29/2001,4
WAS,Sharife Cooper,PG,6-0,176,6/11/2001,1
WAS,Bilal Coulibaly,SG,6-7,195,7/26/2004,2
WAS,Kyshawn George,SF,6-8,200,12/12/2003,1
WAS,Keshon Gilbert,PG,6-4,200,6/30/2003,0
WAS,Anthony Gill,PF,6-7,230,10/17/1992,5
WAS,Jaden Hardy,SG,6-3,198,7/5/2002,3
WAS,AJ Johnson,SG,6-5,160,12/1/2004,1
WAS,Tre Johnson,SG,6-5,190,3/7/2006,0
WAS,Corey Kispert,SF,6-6,224,3/3/1999,4
WAS,Skal Labissière,PF,6-10,235,3/18/1996,5
WAS,CJ McCollum,SG,6-3,190,9/19/1991,12
WAS,Khris Middleton,SF,6-7,222,8/12/1991,13
WAS,Julian Reese,PF,6-9,230,6/30/2003,0
WAS,Kadary Richmond,SG,6-5,205,8/25/2001,0
WAS,Will Riley,SF,6-9,180,2/10/2006,0
WAS,Alex Sarr,C,7-0,205,4/26/2005,1
WAS,Tristan Vukcevic,C,7-0,220,3/11/2003,2
WAS,Jamir Watkins,SG,6-6,210,7/6/2001,0
WAS,Cam Whitmore,SF,6-6,230,7/8/2004,2
WAS,Alondes Williams,SG,6-4,210,6/19/1999,3
WAS,Trae Young,PG,6-2,164,9/19/1998,7
