team,name,position,height,weight,bday,years experience
CHI,Leonard Miller,SF,6-10,220,11/26/2003,2
CHI,Isaac Okoro,SG,6-4,225,1/26/2001,5
CHI,Lachlan Olbrich,C,6-8,236,12/30/2003,0
CHI,Julian Phillips,SF,6-6,198,11/5/2003,2
CHI,Nick Richards,C,6-11,245,11/29/1997,5
CHI,Collin Sexton,SG,6-3,190,1/4/1999,7
CHI,Anfernee Simons,SG,6-3,200,6/8/1999,7
CHI,Jalen Smith,C,6-8,215,3/16/2000,5
CHI,Dalen Terry,SG,6-6,195,7/12/2002,3
CHI,Nikola Vučević,C,6-9,260,10/24/1990,14
CHI,Coby White,SG,6-4,195,2/16/2000,6
CHI,Patrick Williams,PF,6-6,215,8/26/2001,5
CHI,Guerschon Yabusele,C,6-7,265,12/17/1995,3
CLE,Jarrett Allen,C,6-9,243,4/21/1998,8
CLE,Lonzo Ball,PG,6-5,190,10/27/1997,6
CLE,Darius Brown II,SG,6-2,192,7/28/1999,0
CLE,Thomas Bryant,C,6-9,248,7/31/1997,8
CLE,Keon Ellis,SG,6-4,175,1/8/2000,3
CLE,Tristan Enaruna,SF,6-7,220,6/26/2001,0
CLE,Darius Garland,PG,6-1,192,1/26/2000,6
CLE,James Harden,PG,6-5,220,8/26/1989,16
CLE,De'Andre Hunter,SF,6-7,221,12/2/1997,6
CLE,Chris Livingston,SF,6-6,220,10/15/2003,2
CLE,Sam Merrill,SG,6-4,205,5/15/1996,5
CLE,Riley Minix,SF,6-7,230,9/22/2000,1
CLE,Donovan Mitchell,SG,6-2,215,9/7/1996,8
CLE,Evan Mobley,PF,6-11,215,6/18/2001,4
CLE,Larry Nance Jr.,PF,6-6,245,1/1/1993,10
CLE,Craig Porter Jr.,PG,6-1,180,2/26/2000,2
CLE,Tyrese Proctor,PG,6-4,185,4/1/2004,0
CLE,Olivier Sarr,C,6-10,240,2/20/1999,3
CLE,Dennis Schröder,PG,6-1,175,9/15/1993,12
CLE,Max Strus,SF,6-5,215,3/28/1996,6
CLE,Nae'Qwan Tomlin,PF,6-8,210,12/10/2000,1
CLE,Luke Travers,SG,6-6,207,9/3/2001,1
CLE,Jaylon Tyson,SG,6-6,215,12/2/2002,1
CLE,Dean Wade,PF,6-9,228,11/20/1996,6
DAL,Marvin Bagley III,PF,6-10,235,3/14/1999,7
DAL,Max Christie,SG,6-5,190,2/10/2003,3
DAL,Moussa Cisse,C,6-11,220,9/10/2002,0
DAL,Anthony Davis,PF,6-10,253,3/11/1993,13
DAL,Cooper Flagg,SF,6-9,205,12/21/2006,0
DAL,Daniel Gafford,C,6-10,265,10/1/1998,6
DAL,Jaden Hardy,SG,6-3,198,7/5/2002,3
DAL,AJ Johnson,SG,6-5,160,12/1/2004,1
DAL,Tyus Jones,PG,6-0,196,5/10/1996,10
DAL,Miles Kelly,PG,6-4,190,1/26/2003,0
DAL,Dereck Lively II,C,7-1,230,2/12/2004,2
DAL,Naji Marshall,SF,6-6,220,1/24/1998,5
DAL,Caleb Martin,SF,6-5,205,9/28/1995,6
DAL,Khris Middleton,SF,6-7,222,8/12/1991,13
DAL,Ryan Nembhard,PG,5-11,180,3/10/2003,0
DAL,John Poulakidas,SG,6-6,205,4/4/2003,0
DAL,Dwight Powell,C,6-10,240,7/20/1991,11
DAL,Jeremiah Robinson-Earl,PF,6-9,240,11/3/2000,4
DAL,D'Angelo Russell,PG,6-3,193,2/23/1996,10
DAL,Tyler Smith,PF,6-9,224,11/2/2004,1
DAL,Klay Thompson,SF,6-5,220,2/8/1990,12
DAL,P.J. Washington,PF,6-7,230,8/23/1998,6
DAL,Brandon Williams,PG,6-1,190,11/22/1999,3
DEN,Christian Braun,SG,6-6,220,4/17/2001,3
DEN,Bruce Brown,SG,6-4,202,8/15/1996,7
DEN,Aaron Gordon,PF,6-8,235,9/16/1995,11
DEN,Tim Hardaway Jr.,SG,6-5,205,3/16/1992,12
DEN,DaRon Holmes,PF,6-9,225,8/15/2002,0
DEN,Cameron Johnson,SF,6-8,210,3/3/1996,6
DEN,Nikola Jokić,C,6-11,284,2/19/1995,10
DEN,Curtis Jones,SG,6-3,195,12/4/2001,0
DEN,Spencer Jones,SF,6-7,225,6/14/2001,1
DEN,Tyus Jones,PG,6-0,196,5/10/1996,10
DEN,Jamal Murray,PG,6-4,215,2/23/1997,8
DEN,Zeke Nnaji,PF,6-10,240,1/9/2001,5
DEN,Jalen Pickett,SG,6-2,202,10/22/1999,2
DEN,David Roddy,PF,6-5,255,3/27/2001,3
DEN,KJ Simpson,PG,6-2,189,8/8/2002,1
DEN,Julian Strawther,SG,6-6,205,4/18/2002,2
DEN,Hunter Tyson,PF,6-8,215,6/13/2000,2
DEN,Jonas Valančiūnas,C,6-11,265,5/6/1992,13
DEN,Peyton Watson,SF,6-8,200,9/11/2002,3
DET,Cade Cunningham,PG,6-6,220,9/25/2001,4
DET,Jalen Duren,C,6-10,250,11/18/2003,3
DET,Javonte Green,SG,6-5,205,7/23/1993,6
DET,Tobias Harris,PF,6-8,226,7/15/1992,14
DET,Ron Holland,SF,6-8,206,7/7/2005,1
DET,Kevin Huerter,SG,6-6,198,8/27/1998,7
DET,Jaden Ivey,SG,6-3,195,2/13/2002,3
DET,Daniss Jenkins,PG,6-4,165,8/17/2001,1
DET,Colby Jones,SG,6-6,207,5/28/2002,2
DET,Isaac Jones,PF,6-8,245,7/11/2000,1
DET,Bobi Klintman,SF,6-9,225,3/6/2003,1
DET,Chaz Lanier,SG,6-3,206,12/19/2001,0
DET,Caris LeVert,SG,6-7,205,8/25/1994,9
DET,Wendell Moore Jr.,SG,6-5,215,9/18/2001,3
DET,Paul Reed,C,6-9,210,6/14/1999,5
DET,Duncan Robinson,SG,6-7,215,4/22/1994,7
DET,Marcus Sasser,PG,6-1,195,9/21/2000,2
DET,Tolu Smith,PF,6-11,254,7/26/2000,1
DET,Isaiah Stewart,C,6-8,250,5/22/2001,5
DET,Ausar Thompson,SF,6-7,205,1/30/2003,2
GSW,Charles Bassey,C,6-10,230,10/28/2000,4
GSW,Jimmy Butler,SF,6-6,230,9/14/1989,14
GSW,LJ Cryer,PG,6-1,202,10/9/2001,0
GSW,Seth Curry,SG,6-1,185,8/23/1990,11
GSW,Stephen Curry,PG,6-2,185,3/14/1988,16
GSW,Draymond Green,PF,6-6,230,3/4/1990,13
GSW,Buddy Hield,SG,6-4,220,12/17/1992,9
GSW,Al Horford,C,6-8,240,6/3/1986,18
GSW,Trayce Jackson-Davis,C,6-9,245,2/22/2000,2
GSW,Jonathan Kuminga,PF,6-7,225,10/6/2002,4
GSW,Malevy Leons,SF,6-9,210,9/23/1999,1
